Country Code,Country,M49 Code
28,Myanmar,104
147,Namibia,516
148,Nauru,520
149,Nepal,524
5817,Net Food Importing Developing Countries,
150,Netherlands,528
151,Netherlands Antilles (former),530
153,New Caledonia,540
156,New Zealand,554
157,Nicaragua,558
158,Niger,562
159,Nigeria,566
160,Niue,570
161,Norfolk Island,574
154,North Macedonia,807
5103,Northern Africa,15
5203,Northern America,21
5402,Northern Europe,154
163,Northern Mariana Islands,580
162,Norway,578
5500,Oceania,9
221,Oman,512
164,Pacific Islands Trust Territory,582
165,Pakistan,586
180,Palau,585
299,Palestine,275
166,Panama,591
168,Papua New Guinea,598
169,Paraguay,600
170,Peru,604
171,Philippines,608
172,Pitcairn Islands,612
173,Poland,616
5504,Polynesia,61
174,Portugal,620
177,Puerto Rico,630
179,Qatar,634
117,Republic of Korea,410
146,Republic of Moldova,498
182,Réunion,638
183,Romania,642
185,Russian Federation,643
184,Rwanda,646
187,"Saint Helena, Ascension and Tristan da Cunha",654
188,Saint Kitts and Nevis,659
189,Saint Lucia,662
190,Saint Pierre and Miquelon,666
191,Saint Vincent and the Grenadines,670
244,Samoa,882
192,San Marino,674
193,Sao Tome and Principe,678
194,Saudi Arabia,682
195,Senegal,686
272,Serbia,688
186,Serbia and Montenegro,891
196,Seychelles,690
197,Sierra Leone,694
200,Singapore,702
199,Slovakia,703
198,Slovenia,705
5803,Small Island Developing States,1226
25,Solomon Islands,90
201,Somalia,706
202,South Africa,710
5207,South America,5
277,South Sudan,728
5304,South-Eastern Asia,35
5104,Southern Africa,18
5303,Southern Asia,34
5403,Southern Europe,39
203,Spain,724
38,Sri Lanka,144
276,Sudan,729
206,Sudan (former),736
207,Suriname,740
260,Svalbard and Jan Mayen Islands,744
210,Sweden,752
211,Switzerland,756
212,Syrian Arab Republic,760
208,Tajikistan,762
216,Thailand,764
176,Timor-Leste,626
217,Togo,768
218,Tokelau,772
219,Tonga,776
220,Trinidad and Tobago,780
222,Tunisia,788
223,Turkey,792
213,Turkmenistan,795
224,Turks and Caicos Islands,796
227,Tuvalu,798
226,Uganda,800
230,Ukraine,804
225,United Arab Emirates,784
229,United Kingdom,826
215,United Republic of Tanzania,834
231,United States of America,840
240,United States Virgin Islands,850
234,Uruguay,858
228,USSR,810
235,Uzbekistan,860
155,Vanuatu,548
236,Venezuela (Bolivarian Republic of),862
237,Viet Nam,704
243,Wallis and Futuna Islands,876
5105,Western Africa,11
5305,Western Asia,145
5404,Western Europe,155
205,Western Sahara,732
5000,World,1
249,Yemen,887
248,Yugoslav SFR,890
251,Zambia,894
181,Zimbabwe,716
